player_id,teams,unlisted_teams
a23fda4a,"['Surrey 2nd XI', 'Surrey', 'Loughborough Marylebone Cricket Club University (England)']","['Surrey 2nd XI', 'Loughborough Marylebone Cricket Club University (England)']"
a2500c86,['Durham 2nd XI'],['Durham 2nd XI']
a2870fb7,"['Rajasthan Royals', 'Gujarat', 'Air India', 'India Blue']","['Air India', 'India Blue']"
a28a7fba,"['Maple Leaf Cricket Club XI', 'Canada', 'Brampton Wolves']","['Maple Leaf Cricket Club XI', 'Brampton Wolves']"
a2a0fa9a,"['Ireland', 'Leeds/Bradford MCCU']",['Leeds/Bradford MCCU']
a2a1efe2,"['United States of America', 'Trinidad & Tobago']",['Trinidad & Tobago']
a2c23f31,"['Sri Lanka', 'FOG-Seenigama Ladies']",['FOG-Seenigama Ladies']
a2ec22d2,"['Singapore', 'Singapore Cricket Association']",['Singapore Cricket Association']
a2f46292,"['Rajasthan', 'India', 'Delhi Capitals', 'Sunrisers Hyderabad', 'India B', 'Rest of India']","['India B', 'Rest of India']"
a2f71c9f,"['South Africa', 'Dolphins', 'Free State', 'Eagles', 'KwaZulu-Natal']","['Free State', 'Eagles', 'KwaZulu-Natal']"
a316d663,"['Multan Sultans', 'South Africa', 'Easterns', 'Titans', 'St Lucia Zouks', 'Lions', 'Kings XI Punjab', 'Derbyshire', 'Lahore Qalandars', 'Pretoria Capitals', 'Jaffna Kings', 'Boland', 'South African Invitation XI', 'Kent', 'Peshawar Zalmi']","['Easterns', 'South African Invitation XI']"
a323465c,"['Canada', 'Brampton Wolves', 'Vancouver Knights']","['Brampton Wolves', 'Vancouver Knights']"
a343262c,"['Dubai Capitals', 'Yorkshire 2nd XI', 'Yorkshire', 'Rajasthan Royals', 'Trent Rockets (Men)', 'England', 'Yorkshire Academy', 'Sydney Thunder', 'England Lions']","['Yorkshire 2nd XI', 'Trent Rockets (Men)', 'Yorkshire Academy', 'England Lions']"
a354c917,"['Otago', 'New Zealand', 'Texas Chargers', 'Canterbury']",['Texas Chargers']
a35c119e,"['Hobart Hurricanes', 'Tasmania', 'Southern Punjab (Pakistan)', 'Karachi Kings']",['Southern Punjab (Pakistan)']
a37b5c0a,"['Yorkshire Academy', 'Yorkshire 2nd XI', 'Yorkshire']","['Yorkshire Academy', 'Yorkshire 2nd XI']"
a386e91b,"['World-XI', 'Impi', 'Rajasthan Royals', 'England', 'World Giants', 'Durham', 'Delhi Daredevils', 'Perth Scorchers']","['World-XI', 'World Giants']"
a38e7be7,"['Sinhalese Sports Club', 'Colombo', 'Sri Lanka', 'Dambulla Aura', 'Ajman Bolts', 'Colombo Strikers', 'Galle Titans']","['Sinhalese Sports Club', 'Colombo', 'Ajman Bolts']"
a392328e,"['Vidarbha', 'Central Zone']",['Central Zone']
a3a078ba,"['Sylhet Division', 'Bangladesh', 'Bangladesh Cricket Board Academy', 'Rangpur Division', 'Chittagong Vikings']","['Sylhet Division', 'Bangladesh Cricket Board Academy', 'Rangpur Division']"
a3a1c7ef,"['Sui Gas Corporation of Pakistan', 'Lahore Qalandars', 'Peshawar Panthers', 'Zarai Taraqiati Bank Limited']","['Sui Gas Corporation of Pakistan', 'Peshawar Panthers', 'Zarai Taraqiati Bank Limited']"
a3a3c0e7,"['South Africa', 'Gauteng']",['Gauteng']
a3ae63f4,"['South Africa', 'Northerns', 'Titans Cubs', 'Jozi Stars', 'Knights', 'Northern Cape']","['Northerns', 'Titans Cubs', 'Northern Cape']"
a3b936c8,"['VRA Cricket', 'Netherlands']",['VRA Cricket']
a3c5e7a6,"['Bedfordshire', 'Northamptonshire', 'Glamorgan', 'Northamptonshire 2nd XI']","['Bedfordshire', 'Northamptonshire 2nd XI']"
a3c9ef5f,"['Sri Lanka', 'FOG-Seenigama Ladies']",['FOG-Seenigama Ladies']
a3d329d7,"['Antigua', 'West Indies', 'Antigua and Barbuda']","['Antigua', 'Antigua and Barbuda']"
a3ead8da,"['India Red', 'India']",['India Red']
