player_id,teams
030f3089,"['Rajasthan Royals cricket', 'India Emerging Team cricket']"
0311d9ec,['China Women cricket']
031b389c,"['Goa cricket', 'India Blue cricket', 'India Under-19s cricket', 'Royal Challengers Bangalore cricket']"
03252e44,"['Northamptonshire cricket', 'Worcestershire cricket', 'Australia cricket', 'New South Wales cricket', 'Yorkshire cricket']"
032c7eab,['Hungary XI cricket']
032e4384,"['Eastern Province cricket', 'Eastern Province Under-19s cricket', 'Lions cricket']"
0331c99a,['Sweden cricket']
03355ca8,['Belgium cricket']
033ac24e,['Malaysia Under-19s cricket']
033e9d59,"['Switzerland cricket', 'Switzerland Under-17s cricket']"
0348f9a5,"['Ireland Under-19s cricket', 'Ireland Academy cricket', 'Leinster cricket']"
034b4b7d,"['India cricket', ""Rajasthan Cricket Association President's XI cricket"", ""Indian Board President's XI cricket"", 'Punjab cricket', 'Kings XI Punjab cricket', 'India Under-19s cricket']"
034d3c52,['Argentina Under-19s cricket']
03521fd3,"['Canterbury cricket', 'New Zealand cricket', 'Durham 2nd XI cricket', 'Sydney Thunder cricket', 'Marylebone Cricket Club Young Cricketers cricket']"
035cb925,"['Africa XI cricket', 'Western Province Boland cricket', 'Lancashire cricket', 'Western Province cricket', 'South Africa cricket', 'Nottinghamshire cricket', 'Eastern Province cricket', 'Warriors cricket', 'Mumbai Indians cricket']"
036b8660,[]
036dcf9b,['Belgium cricket']
0371cc19,['Seychelles cricket']
0372c4c5,"['Bijapur Bulls cricket', 'Hubli Tigers cricket', 'Karnataka cricket', 'Gulbarga Mystics cricket']"
037429dc,"['Western Australia cricket', 'Perth Scorchers cricket']"
037bf4eb,['Malaysia cricket']
037f2b86,"['Trailblazers cricket', 'Bangladesh Women cricket']"
03806cf8,"['Royal Challengers Bangalore cricket', 'Sydney Sixers cricket', 'Australia A cricket', 'New South Wales Under-19s cricket', ""PJ Cummins' XI cricket"", 'Australian Institute of Sport cricket', 'Chennai Super Kings cricket', 'Australia cricket', 'New South Wales cricket', 'New South Wales Under-23s cricket', 'Mumbai Indians cricket', ""AJ Finch's XI cricket"", 'St George cricket', 'New South Wales Under-17s cricket', 'New South Wales Second XI cricket', 'Australian Capital Territory cricket', 'Brad Haddin XII cricket', 'Australia Under-19s cricket', 'New South Wales Country cricket']"
0388d3bd,['Zimbabwe Under-17s cricket']
038ff851,['Hyderabad (India) cricket']
039168c7,['Cyprus Women cricket']
0393fbdc,['Finland cricket']
0398f255,[]
0398fc0f,['Sweden Women cricket']
039cabd9,['Fiji cricket']
039f8170,['Japan cricket']
03a83c50,"['MI Emirates cricket', 'Sri Lanka cricket', 'Jaffna cricket', 'Jaffna Kings cricket', 'Sunrisers Hyderabad cricket', 'Sri Lanka Under-19s cricket', 'Chattogram Challengers cricket', 'Tamil Union Cricket and Athletic Club cricket']"
03ae720f,"['Mashonaland cricket', 'Subiaco-Floreat cricket', 'Western Australia cricket', ""Cricket Australia Chairman's XI cricket"", 'Ahmedabad Rockets cricket', 'Netherlands cricket', 'ICL World XI cricket', 'Sussex cricket', 'Western Australia Second XI cricket', 'Warriors cricket', ""ACB Chairman's XI cricket"", 'Zimbabwe cricket', 'Mashonaland A cricket']"
03b09a26,"['Canterbury Women cricket', 'New Zealand Women cricket']"
03b9ec54,['Gibraltar cricket']
03be7a88,['Arunachal Pradesh cricket']
03beb59f,['Mexico cricket']
03c29939,"['Punjab cricket', 'Punjab Under-19s cricket', 'Punjab Under-22s cricket', 'Mumbai Indians cricket']"
03c94c2f,['Croatia cricket']
03c98aa6,['Staffordshire Women cricket']
03cb8ee0,['Bangladesh Women cricket']
03ce169b,"['Pakistan National Shipping Corporation cricket', 'Hyderabad (Pakistan) cricket', 'Sui Gas Corporation of Pakistan cricket']"
03d3dd8e,"['VRA Cricket cricket', 'Voorburg CC cricket', 'Netherlands cricket']"
03d70cd8,"['West Africa Under-19s cricket', 'Nigeria cricket']"
